asin,description,manufacturer,name,no_of_reviews,price,rating,url
B09QJ7ZF2Y,,,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),,599,3.7,https://amazon.in/dp/B09QJ7ZF2Y
B09VGNTDRZ,,,Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,,1899,4.2,https://amazon.in/dp/B09VGNTDRZ
B0C28QQMFJ,"Stay organized all day with Fur Jaden's durable and lightweight pro series backpack. This smart tech laptop backpack is a stylish and functional accessory for men and women. It adds admiration to an appealing and daring personality with remarkable aesthetics and functionality. It comes with a utility pocket in the main compartment which helps keep smaller accessories and belongings in place. Fur Jaden's Pro Series functional backpacks are apt for professionals looking to stay connected to their devices all day long as it features a smart in-built USB Type-A and USB Type-C charging port station which also supports reversible charging. This smart backpack also features an anti-theft pocket on the back to protect your gadgets and belongings from being stolen while you travel, now keep your belongings safe with style. The backpack features a 180 Degree openable padded gadget compartment that you may use to store your laptop and tablets safely. Weighing about 900 grams, this backpack is lightweight and easy to carry all day long. This tech backpack from Fur Jaden is able to house laptops of up to 15.6 inches and has several pockets to place mobile phones, pens, power banks, etc. Made from premium & durable quality PU, Fur Jaden Pro Series backpacks are sturdy and reliable. Flaunt this uniquely designed handcrafted Fur Jaden bag with style as it helps elevate your style quotient. This backpack is suitable for working professionals and uber cool college students . The straps are designed to distribute weight equally on each shoulder preventing any sort of discomfort. This stylish laptop backpack comes with a convenient grab handle which not only adds convenience but also helps grab a lot of attention.",Fur Jaden,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,,3499,4.6,https://amazon.in/dp/B0C28QQMFJ
B09ZYQJHXR,,Encon Impex Pvt Ltd,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,,4990,4.4,https://amazon.in/dp/B09ZYQJHXR
B09CQ5T3LN,Backpack,,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,,1399,4.1,https://amazon.in/dp/B09CQ5T3LN
B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd,Skybags Brat Black 46 Cms Casual Backpack,,649,4.1,https://amazon.in/dp/B08Z1HHHTD
B07CJCGM1M,,,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),,1199,N/A,https://amazon.in/dp/B07CJCGM1M
B084Z2LYDR,"Gain instant access to the things that you need in a jiffy. Its drop-leg holster design sits tight with you when you’re out and about while the intelligent storage segregation allows a solid amount of gear to be carried at one go. Momentum, now gets streamlined with the Carbonado™ Vector.How to get your Vector on:The Vector comes with two adjustable straps made of the same materials that car seat belts are made out of.The classic holster:Simply strap the larger waist strap around your waist and adjust the puller till you’re comfortable. Once that’s done, just buckle it in.Now, take the smaller adjustable thigh strap around your thigh and hook it on to the D-ring.Two simple and easy steps and voila…you’re good to go!The cross-body:Additionally, the Vector can also be worn cross-body, across your shoulders if you choose to.Just take the larger waist strap and run it across your preferred shoulder and buckle it in. The thigh strap can be removed. We promise that you’ll look just as cool as you would with it around your waist!Features:A large zipper pouch with a deep pocket allows you to store items that are otherwise impossible to carry.The open-front velcro pouch is meant for your bulky items that you may need access to in a hurry, like perhaps your wallet or a pack of business cards.The concealed, smaller zipper pouch below the velcro flap does exactly what it’s meant to do…give you concealed storage for smaller items that definitely need an eye to be kept on!A small, velcro pouch along the waist allows you to store your car keys, earphone case, contact lens case or anything that fits within your palm.",No,,,889,N/A,https://amazon.in/dp/B084Z2LYDR
B0BYSZ3TKW,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",FUR JADEN,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",,799,4.4,https://amazon.in/dp/B0BYSZ3TKW
B07XXFB9CZ,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",No,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),,387,4.3,https://amazon.in/dp/B07XXFB9CZ
